RegionID,SizeRank,RegionName,RegionType,StateName,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20
395235,89,"Winston, NC",msa,NC,1004.795282,1008.523535,1013.959042,1023.619948,1029.609959,1032.370312,1027.28086,1026.595299,1024.683519,1022.119852,1022.126999,1025.927916,1033.089544,1042.024586,1047.221189,1046.899585,1050.582093,1052.457437,1055.536879,1051.382853,1049.999687,1050.067379,1053.256799,1057.259034,1070.115705,1080.857182,1090.49152,1095.677305,1096.319328,1094.219974,1095.474025,1098.042716,1097.824299,1086.107688,1086.944058,1093.961,1112.971639,1123.653435,1133.826146,1136.052593,1136.584796,1137.295682,1143.024087,1141.986296,1146.144269,1144.995855,1154.042331,1158.219373,1171.321809,1179.614334,1191.525621,1200.097463,1205.045714,1206.325794,1202.652006,1205.255268,1204.039194,1203.613087,1209.296326,1213.823186,1225.499598,1224.337994,1233.062712,1241.703364,1263.723441,1280.640044,1289.693831,1289.092763,1292.667086,1297.708202
394528,90,"Deltona, FL",msa,FL,999.4736945,1010.547061,1019.379171,1026.455021,1032.109422,1041.996275,1056.654751,1066.583823,1069.41684,1053.513016,1055.243884,1060.590639,1078.569047,1081.747462,1092.165864,1100.584517,1108.47639,1114.467397,1118.577645,1124.724221,1128.057539,1131.886198,1134.05226,1133.911522,1126.267867,1133.597389,1145.085835,1169.019338,1178.45312,1186.551705,1185.498012,1187.453333,1189.552025,1195.941395,1198.356624,1202.801554,1213.930537,1227.605827,1238.77557,1247.798393,1248.524799,1252.133021,1255.442986,1262.454831,1273.589099,1280.419895,1283.242067,1287.348036,1296.261184,1304.792899,1308.356107,1305.937129,1311.845145,1316.375942,1325.794707,1327.718312,1329.48215,1330.139458,1339.073471,1344.820001,1354.635454,1351.656114,1350.771742,1349.510095,1360.877746,1369.908025,1384.87917,1397.221419,1409.849599,1411.215767
395143,91,"Syracuse, NY",msa,NY,,,,,,,,,,,975.6076496,984.4790564,1007.029458,1032.306942,1048.454079,1038.272439,1019.202111,1015.315607,1010.579659,1012.874457,1017.821835,1024.678599,1025.151171,1018.991906,1026.385802,1025.734158,1022.276585,1021.671881,1025.378464,1036.545949,1035.083398,1045.021793,1051.582845,1058.383411,1059.03826,1061.670574,1067.620159,1069.403917,1064.424217,1068.248953,1064.694445,1069.114346,1063.762926,1069.552042,1061.218597,1059.464526,1054.172441,1061.308244,1068.929442,1084.211039,1091.454366,1101.33712,1111.344388,1112.068832,1113.551031,1104.194999,1116.6812,1108.12332,1118.665087,1111.823679,1124.329095,1129.216167,1139.310503,1147.651103,1152.529746,1168.216171,1170.365556,1169.999737,1167.111544,1168.671432
395006,92,"Provo, UT",msa,UT,1063.683644,1060.829883,1064.196451,1061.32663,1075.575697,1073.631246,1087.447951,1098.856225,1121.645441,1118.367347,1121.865624,1113.045209,1114.726277,1113.663149,1123.140351,1128.625102,1139.682189,1151.915456,1154.83854,1157.194029,1156.407989,1152.208553,1151.090523,1161.443123,1179.817076,1191.241919,1196.923382,1208.225311,1213.688578,1220.952153,1219.903624,1219.284948,1211.474883,1209.722934,1226.963324,1237.136199,1248.343604,1251.128179,1257.55233,1265.045422,1272.40585,1279.839608,1276.241529,1261.861057,1258.139092,1266.321007,1279.048971,1283.432574,1291.844738,1297.430964,1311.052898,1320.43574,1325.89632,1332.256765,1330.616709,1321.287246,1316.662915,1315.537039,1324.32947,1325.159282,1330.043855,1334.832514,1339.861342,1348.502476,1362.013203,1371.325776,1364.642419,1369.067741,1381.055816,1400.003691
395160,93,"Toledo, OH",msa,OH,844.7878269,866.601958,862.7809034,867.5709029,850.161253,852.9300298,854.2127754,856.4638173,857.4502227,848.9600225,844.2306916,842.1363976,868.0127273,874.3812379,888.8315277,876.7835795,885.4777896,885.3026654,889.1894821,888.4557096,891.2483385,888.5904129,887.064365,870.9830748,872.1625089,877.6278512,894.2589977,900.7988858,903.5006477,906.3594741,900.0454563,898.6340344,899.8911414,907.28504,906.5716141,902.5101447,903.7832704,910.2965241,920.0017727,923.0102157,924.3479813,922.7941026,923.4922851,924.8341432,920.0466775,919.2167069,921.4924322,927.9282716,933.3148119,938.5076745,945.7557718,947.9214354,945.8845608,949.7773592,950.330159,949.8403293,948.5741335,951.898904,957.4715158,958.5412931,960.7698747,963.4472302,971.6970105,979.2481042,986.2708041,984.2701158,986.1101408,982.3610035,983.6107413,985.2018463
395224,94,"Wichita, KS",msa,KS,746.6666762,745.9268017,747.8853083,746.4257011,749.6103498,750.6624428,752.6362355,750.4945643,749.8145198,752.1457811,752.2171322,752.4136039,751.465745,751.9710665,750.8597968,753.3295591,754.9485367,757.1516447,755.1438482,756.9723057,757.5839692,755.9396411,752.6343105,753.0612983,757.1791298,763.2769589,763.6071725,765.9176,766.2045092,769.3076285,764.3372419,764.3923563,763.5714819,765.695299,765.0119915,765.0782532,768.6336716,770.5811102,776.4772565,778.5091384,779.7431936,774.4112821,773.6188026,780.2049158,780.8846721,780.7263788,772.9863208,776.9953908,782.4054298,788.382837,791.7991495,792.3114744,797.0622026,801.0655367,803.6052395,801.5830417,800.8975832,799.7339987,803.3729953,804.9865169,807.4368503,807.9396874,811.4854513,819.1594616,827.057325,834.2561536,837.5094645,836.7763516,836.5317386,834.1330207
394549,95,"Durham, NC",msa,NC,1100.999273,1099.915007,1109.995689,1113.273535,1117.474862,1117.269953,1109.819219,1107.446171,1102.608776,1117.0006,1121.182192,1136.401441,1141.119012,1154.101602,1149.528723,1153.43754,1151.964297,1158.081653,1158.945117,1169.049825,1170.388602,1169.624129,1163.68984,1170.619884,1178.204203,1189.005784,1198.46629,1206.796926,1211.513035,1214.481396,1214.311273,1209.154445,1211.748546,1212.158111,1214.453897,1207.547057,1217.387255,1231.250181,1247.950645,1251.574282,1251.859474,1255.496254,1256.971299,1261.97999,1264.573148,1261.834183,1265.196115,1262.994614,1276.638465,1283.982451,1301.855155,1313.225268,1323.379664,1319.312381,1318.611129,1310.981329,1314.494118,1306.450046,1307.904053,1305.668172,1317.493491,1314.397724,1327.070177,1329.575399,1339.618841,1335.005261,1339.201092,1343.85852,1344.616678,1346.415307
394352,96,"Augusta, GA",msa,GA,852.4936801,854.64259,863.1358077,868.3624028,872.4725363,867.920026,868.8939407,867.5342498,871.9784126,872.2321431,871.8791505,875.043143,878.7883787,883.5655694,884.8248292,889.4990778,893.3058166,895.2268323,894.6807853,896.5925146,892.8676967,891.5501318,892.8849517,894.9675884,899.7686996,901.3167357,910.7120626,912.1329626,914.4638632,914.2578423,918.3343299,919.2650762,922.9226011,923.4674964,926.7245117,921.5334148,931.3193927,935.9197336,950.4114939,949.9877959,946.4897271,945.1850087,943.8562817,949.3853843,945.5723581,947.2109385,950.0240776,957.6750141,965.079132,976.4416943,986.7189991,992.4656696,991.5388217,990.8231522,992.8074877,994.6382493,994.8346837,997.0214338,1000.651452,1005.724712,1010.88583,1016.113758,1023.2667,1031.676053,1049.056437,1063.954556,1077.569838,1080.667013,1083.04508,1086.656215
394957,97,"Palm Bay, FL",msa,FL,1023.440088,1029.593467,1037.513304,1049.791546,1059.148288,1076.923205,1080.137213,1089.266134,1086.504236,1098.422149,1101.932474,1109.024093,1108.142461,1115.025444,1117.992219,1127.245608,1132.066434,1145.022182,1154.993882,1161.583771,1169.855451,1176.773928,1183.62692,1189.7986,1197.009199,1204.928941,1209.626083,1215.808951,1227.206861,1232.442381,1236.456518,1244.918071,1253.26795,1261.368728,1263.000266,1269.00278,1273.548752,1280.726042,1292.049212,1307.132267,1316.480705,1325.757479,1327.575152,1331.978088,1332.783428,1335.621204,1340.978829,1343.678464,1353.494203,1355.290458,1362.032262,1363.640318,1374.113122,1380.263152,1386.903009,1389.613119,1389.417589,1393.39493,1393.090801,1405.664175,1413.494887,1416.556874,1408.461511,1406.208094,1419.968333,1439.709242,1454.696545,1461.004527,1469.105587,1478.661658
394711,98,"Jackson, MS",msa,MS,,,,,,,,,,,,,,,1017.988911,1024.933593,1032.233548,1031.822355,1031.69295,1030.301245,1025.244933,1026.801869,1043.243947,1052.312986,1047.035059,1038.854337,1039.855921,1045.570449,1043.190683,1042.523688,1040.599956,1042.681799,1045.798917,1047.359667,1052.870678,1058.723251,1063.063545,1059.617384,1055.469237,1044.403875,1045.126165,1046.333288,1054.027834,1055.996071,1056.9846,1064.506394,1067.775683,1069.588701,1072.550696,1070.856183,1070.967624,1066.771748,1070.77654,1073.462229,1070.042165,1073.077524,1076.199524,1090.364588,1093.613961,1098.350793,1104.993704,1106.59611,1107.748497,1099.280123,1097.458757,1104.894406,1115.430793,1126.996474,1128.273533,1125.832537
